Batch [160/500], Time 0.03345799446105957
Batch [161/500], Time 0.02212214469909668
Batch [162/500], Time 0.03147530555725098
Batch [163/500], Time 0.024099111557006836
Batch [164/500], Time 0.07782459259033203
Batch [165/500], Time 0.022192716598510742
Batch [166/500], Time 0.024897336959838867
Batch [167/500], Time 0.04747414588928223
Batch [168/500], Time 0.023104429244995117
Batch [169/500], Time 0.058739662170410156
Batch [170/500], Time 0.048159122467041016
Batch [171/500], Time 0.06063723564147949
Batch [172/500], Time 0.022165775299072266
Batch [173/500], Time 0.060986995697021484
Batch [174/500], Time 0.022298574447631836
Batch [175/500], Time 0.049592018127441406
Batch [176/500], Time 0.049988746643066406
Batch [177/500], Time 0.022380352020263672
Batch [178/500], Time 0.03900337219238281
Batch [179/500], Time 0.02163386344909668
Batch [180/500], Time 0.06313085556030273
Batch [181/500], Time 0.02342987060546875
Batch [182/500], Time 0.022608280181884766
Batch [183/500], Time 0.04312419891357422
Batch [184/500], Time 0.02924323081970215
Batch [185/500], Time 0.059563636779785156
Batch [186/500], Time 0.022320032119750977
Batch [187/500], Time 0.022670984268188477
Batch [188/500], Time 0.02160477638244629
Batch [189/500], Time 0.022043466567993164
Batch [190/500], Time 0.02182173728942871
Batch [191/500], Time 0.02187061309814453
Batch [192/500], Time 0.04267525672912598
Batch [193/500], Time 0.05357718467712402
Batch [194/500], Time 0.05793333053588867
Batch [195/500], Time 0.07042598724365234
Batch [196/500], Time 0.0307772159576416
Batch [197/500], Time 0.030459165573120117
Batch [198/500], Time 0.02322554588317871
Batch [199/500], Time 0.022080421447753906
Batch [200/500], Time 0.023839235305786133
Batch [201/500], Time 0.03728032112121582
Batch [202/500], Time 0.023095130920410156
Batch [203/500], Time 0.07220888137817383
Batch [204/500], Time 0.034184932708740234
Batch [205/500], Time 0.05028891563415527
Batch [206/500], Time 0.031574249267578125
Batch [207/500], Time 0.026716947555541992
Batch [208/500], Time 0.07328104972839355
Batch [209/500], Time 0.03409743309020996
Batch [210/500], Time 0.027230501174926758
Batch [211/500], Time 0.023540019989013672
Batch [212/500], Time 0.021957874298095703
Batch [213/500], Time 0.05211043357849121
Batch [214/500], Time 0.02136707305908203
Batch [215/500], Time 0.027399301528930664
Batch [216/500], Time 0.02242279052734375
Batch [217/500], Time 0.05452322959899902
Batch [218/500], Time 0.022216796875
Batch [219/500], Time 0.05246853828430176
Batch [220/500], Time 0.052243947982788086
Batch [221/500], Time 0.0227200984954834
Batch [222/500], Time 0.021631956100463867
Batch [223/500], Time 0.02891087532043457
Batch [224/500], Time 0.04530835151672363
Batch [225/500], Time 0.06003165245056152
Batch [226/500], Time 0.06659412384033203
